,Unnamed: 0,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,isOwnGoal
45,45,2727178197.0,356,2,14.0,613,9.7,76.9,2,FirstHalf,BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,232278.0,,,,,,,,,,,,
47,47,2727354449.0,798,2,17.0,613,6.0,91.9,2,FirstHalf,Aerial,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[197, 200]",False,232278.0,,,,,,,,,,,,
49,49,2727075307.0,27,2,17.0,613,8.0,95.6,2,FirstHalf,BallTouch,Unsuccessful,"['Head', 'Zone', 'StandingSave']","[91, 69]",True,232278.0,,,,,,,,,,,,
80,80,2727077933.0,36,3,53.0,613,20.7,79.4,3,FirstHalf,Clearance,Successful,"['PassEndX', 'PassEndY', 'Length', 'Angle', 'Zone', 'Head']","[91, 94, 95, 57, 215]",True,232278.0,31.2,74.1,,,,,,,,,,
128,128,2727082179.0,58,5,58.0,613,30.8,95.9,5,FirstHalf,Pass,Unsuccessful,"['Length', 'Zone', 'PassEndX', 'PassEndY', 'StandingSave', 'Angle']","[91, 118, 120, 29, 36, 38, 216, 218]",True,232278.0,47.1,77.8,,,,,,,,,,
139,139,2727083361.0,61,6,33.0,613,17.5,9.6,6,FirstHalf,Challenge,Unsuccessful,"['Zone', 'Defensive', 'OppositeRelatedEvent']",[55],False,232278.0,,,,,,,,,,,,
173,173,2727087035.0,80,8,7.0,613,84.6,80.0,8,FirstHalf,Pass,Unsuccessful,"['PassEndX', 'Zone', 'PassEndY', 'StandingSave', 'Cross', 'Length', 'LeftFoot', 'Angle']","[91, 138, 126, 36, 38, 217, 218]",True,232278.0,92.1,63.4,,,,,,,,,,
175,175,2727087255.0,81,8,10.0,613,85.9,81.2,8,FirstHalf,Pass,Successful,"['Angle', 'StandingSave', 'Length', 'PassEndY', 'PassEndX', 'Zone']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,232278.0,82.0,90.8,,,,,,,,,,
181,181,2727087641.0,84,8,20.0,613,72.6,89.8,8,FirstHalf,Foul,Unsuccessful,"['Foul', 'StandingSave', 'OppositeRelatedEvent', 'Offensive', 'Zone']",[64],False,232278.0,,,,,,,,,,,,
230,230,2727096111.0,103,11,58.0,613,19.0,79.7,11,FirstHalf,BallTouch,Successful,['Zone'],[91],True,232278.0,,,,,,,,,,,,
234,234,2727096457.0,107,12,4.0,613,15.4,93.8,12,FirstHalf,Pass,Unsuccessful,"['Length', 'Angle', 'PassEndY', 'Zone', 'StandingSave', 'Longball', 'PassEndX']","[91, 120, 128, 36, 37, 216, 218]",True,232278.0,53.1,94.7,,,,,,,,,,
250,250,2727097919.0,111,12,45.0,613,8.0,64.0,12,FirstHalf,Pass,Unsuccessful,"['StandingSave', 'HeadPass', 'PassEndY', 'Length', 'Zone', 'Angle', 'PassEndX']","[91, 118, 120, 29, 139, 35, 38, 215, 218]",True,232278.0,0.0,62.9,,,,,,,,,,
251,251,2727097935.0,112,12,46.0,613,3.4,57.2,12,FirstHalf,CornerAwarded,Unsuccessful,"['MissLeft', 'OppositeRelatedEvent', 'Zone']",[122],False,232278.0,,,,,,,,,,,,
264,264,2727100631.0,115,13,56.0,613,7.2,94.8,13,FirstHalf,Tackle,Unsuccessful,"['Defensive', 'OppositeRelatedEvent', 'Zone', 'StandingSave']","[91, 142]",True,232278.0,,,,,,,,,,,,
266,266,2727100641.0,116,13,58.0,613,9.4,92.7,13,FirstHalf,BallRecovery,Successful,[],[93],False,232278.0,,,,,,,,,,,,
